id,x_value,x_status,y_value,y_status
1,-1.571,1,-1.941,1
2,-3.412,0,-4.933,0
3,2.398,1,0.916,1
4,-1.622,0,-2.857,0
5,-4.363,0,-6.524,0
6,-4.788,0,-6.568,0
7,-2.254,0,-1.443,0
8,-2.763,1,0.0320,1
9,-4.576,0,-4.131,0
10,-2.716,0,-5.297,0
11,-4.764,0,-3.476,0
12,-0.055,1,2.146,1
13,-1.677,0,1.279,0
14,1.183,0,-0.805,0
15,-2.293,0,-0.939,0
16,0.183,0,-0.314,0
17,-3.503,0,-1.121,0
18,-2.245,0,-3.641,0
19,-4.06,0,-4.399,0
20,-0.091,0,0.483,0
21,-2.089,0,-2.73,0
23,-4.952,0,-3.808,0
24,-0.079,0,-0.656,0
25,-2.389,0,-1.118,0
26,-4.023,0,-3.493,0
27,-1.43,0,1.548,0
28,-3.221,0,-5.783,0
29,-4.376,0,-3.799,0
30,0.406,1,-0.435,1
31,0.786,1,2.111,1
32,0.314,1,0.887,1
33,-2.871,0,-3.244,0
34,-5.881,0,-7.103,0
35,3.032,1,3.258,1
36,-1.112,0,-0.395,0
37,0.298,0,-0.3230,0
38,-1.738,0,-3.24,0
39,0.359,1,0.258,1
40,-3.221,0,-5.418,0
41,1.407,1,-0.476,1
43,-3.471,0,-3.502,0
44,-1.057,0,-2.609,0
45,-2.408,0,-3.831,0
46,-3.06,0,-4.621,0
47,1.631,1,1.695,1
48,-2.102,0,-3.545,0
49,-0.052,1,-0.119,1
50,1.751,0,1.262,0
51,-1.623,0,-1.932,0
52,-1.714,0,-2.22,0
53,1.939,1,2.407,1
54,-1.597,0,-1.728,0
55,-4.717,0,-4.315,0
56,1.491,1,0.247,1
57,-2.457,0,-2.808,0
58,1.007,0,0.593,0
59,-3.776,0,-4.108,0
60,-1.924,0,-0.676,0
62,-3.835,0,-4.782,0
63,-0.441,0,-1.847,0
64,-1.174,1,-0.744,1
65,-5.164,0,-6.344,0
66,1.195,1,-0.77,1
67,-1.75,0,-4.206,0
68,-0.973,1,0.241,1
69,-1.726,0,-2.085,0
70,-0.961,1,-1.472,1
72,-4.412,0,-4.986,0
73,2.762,1,1.563,1
74,-1.193,0,-0.998,0
76,-0.421,1,1.873,1
77,1.939,1,0.399,1
